lung_1,lung_2,lung_3,lung_4,colon_1,colon_2,colon_3,colon_4, pancreas_1, pancreas_2, pancreas_3, pancreas_4, liver_1, liver_2, liver_3, liver_4, breast_hr_pos_1, breast_hr_pos_2, breast_hr_pos_3, breast_hr_pos_4,esophagus_1,esophagus_2,esophagus_3,esophagus_4,head_and_neck_1,head_and_neck_2,head_and_neck_3,head_and_neck_4,stomach_1,stomach_2,stomach_3,stomach_4,ovary_1,ovary_2,ovary_3,ovary_4,kidney_1,kidney_2,kidney_3,kidney_4,prostate_1,prostate_2,prostate_3,prostate_4,breast_hr_neg_1,breast_hr_neg_2,breast_hr_neg_3,breast_hr_neg_4,lymphoma_1,lymphoma_2,lymphoma_3,lymphoma_4,anus_1,anus_2,anus_3,anus_4,uterus_1,uterus_2,uterus_3,uterus_4,bladder_1,bladder_2,bladder_3,bladder_4,cervix_1,cervix_2,cervix_3,cervix_4,urothelial_1,urothelial_2,urothelial_3,urothelial_4,other_1,other_2,other_3,other_4
1,1,1,1.2,1,1,1,1,1,1.2,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1.2,1,1.2,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1.2,1,1.2,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1.2,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1.2,1.7,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1.2,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
